epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.464,1.64245,2.89838,1.7003,0.25275,0.31515,0.21912,0.10318,1.6634,2.70167,1.78744,0.000414439,0.000414439,0.000414439
2,176.829,1.63957,2.36258,1.68265,0.28626,0.31684,0.24169,0.11129,1.69284,2.30681,1.79682,0.000822877,0.000822877,0.000822877
3,268.908,1.64719,2.28462,1.69317,0.22232,0.40308,0.21635,0.0995,1.77758,3.0171,1.92805,0.00122307,0.00122307,0.00122307
4,356.528,1.65411,2.1773,1.70031,0.26838,0.30559,0.18219,0.08821,1.72864,2.6407,1.79978,0.00121287,0.00121287,0.00121287
5,440.657,1.61536,2.1039,1.66144,0.36732,0.40167,0.32171,0.15886,1.63787,2.17574,1.70607,0.0012005,0.0012005,0.0012005
6,525.029,1.58813,2.03001,1.646,0.45454,0.3849,0.33014,0.17061,1.63762,2.24864,1.70765,0.00118812,0.00118812,0.00118812
7,609.662,1.55085,1.97586,1.63016,0.38912,0.43868,0.36353,0.19784,1.55778,1.89565,1.66597,0.00117575,0.00117575,0.00117575
8,693.464,1.54348,1.91365,1.62123,0.42533,0.5132,0.45495,0.24835,1.55681,1.79235,1.66126,0.00116337,0.00116337,0.00116337
9,777.671,1.52871,1.89114,1.60208,0.43507,0.48507,0.44562,0.2506,1.59032,1.80863,1.69487,0.001151,0.001151,0.001151
10,861.987,1.51902,1.82055,1.5876,0.41541,0.49853,0.43619,0.24257,1.57975,1.76711,1.66659,0.00113863,0.00113863,0.00113863
11,945.829,1.49435,1.80843,1.58762,0.48745,0.46215,0.43449,0.23285,1.57073,1.80686,1.64059,0.00112625,0.00112625,0.00112625
12,1031,1.48262,1.74566,1.55805,0.45656,0.51909,0.48318,0.28778,1.46519,1.78886,1.57586,0.00111388,0.00111388,0.00111388
13,1114.51,1.47857,1.72163,1.5635,0.47987,0.53975,0.50071,0.29467,1.48084,1.57607,1.59279,0.0011015,0.0011015,0.0011015
14,1197.53,1.47098,1.70037,1.54906,0.44032,0.53059,0.47494,0.26981,1.47361,1.67591,1.57347,0.00108913,0.00108913,0.00108913
15,1280.63,1.45857,1.6703,1.54866,0.4822,0.56596,0.52305,0.31003,1.43385,1.59515,1.54785,0.00107675,0.00107675,0.00107675
16,1363.81,1.45746,1.65452,1.54953,0.54243,0.5392,0.5374,0.32373,1.46111,1.61239,1.60343,0.00106437,0.00106437,0.00106437
17,1447.48,1.4245,1.61479,1.51999,0.50351,0.56947,0.54418,0.32977,1.4392,1.55558,1.56741,0.001052,0.001052,0.001052
18,1530.29,1.42092,1.59096,1.52862,0.56832,0.5189,0.55615,0.33303,1.42594,1.51029,1.55412,0.00103962,0.00103962,0.00103962
19,1613.27,1.43005,1.56601,1.52475,0.64868,0.53726,0.61537,0.36937,1.40322,1.48469,1.51992,0.00102725,0.00102725,0.00102725
20,1696.06,1.41555,1.56727,1.5107,0.59306,0.56323,0.5889,0.35369,1.40218,1.41468,1.52122,0.00101488,0.00101488,0.00101488
21,1779.42,1.39377,1.53958,1.49984,0.55096,0.54968,0.55676,0.34939,1.40381,1.43737,1.52341,0.0010025,0.0010025,0.0010025
22,1862.24,1.40648,1.50929,1.49595,0.62398,0.54101,0.61122,0.37672,1.37935,1.41636,1.49458,0.000990125,0.000990125,0.000990125
23,1945.73,1.38776,1.4971,1.49593,0.56738,0.5742,0.57785,0.33825,1.40972,1.40017,1.51256,0.00097775,0.00097775,0.00097775
24,2028.77,1.37643,1.48781,1.48728,0.60476,0.51849,0.5761,0.34827,1.40719,1.50842,1.50499,0.000965375,0.000965375,0.000965375
25,2111.43,1.37544,1.461,1.47659,0.59061,0.56302,0.61999,0.38694,1.36094,1.34337,1.48175,0.000953,0.000953,0.000953
26,2194.22,1.36823,1.45749,1.47542,0.63473,0.59585,0.63345,0.38911,1.36332,1.33113,1.49212,0.000940625,0.000940625,0.000940625
27,2276.91,1.35179,1.43191,1.46128,0.59479,0.61537,0.6445,0.40653,1.34233,1.28768,1.47196,0.00092825,0.00092825,0.00092825
28,2360.23,1.33961,1.38649,1.45273,0.60087,0.61973,0.64164,0.41179,1.31717,1.25597,1.44466,0.000915875,0.000915875,0.000915875
29,2448.53,1.33269,1.3687,1.44941,0.58695,0.60256,0.61509,0.38682,1.32519,1.41799,1.45226,0.0009035,0.0009035,0.0009035
30,2531.17,1.32035,1.35289,1.4391,0.60833,0.65056,0.66584,0.43084,1.33152,1.24949,1.45211,0.000891125,0.000891125,0.000891125
31,2615.87,1.33725,1.36588,1.44799,0.55451,0.65569,0.65419,0.42624,1.29887,1.32722,1.45329,0.00087875,0.00087875,0.00087875
32,2713.04,1.31214,1.33398,1.43759,0.6696,0.6307,0.69047,0.43701,1.34376,1.21268,1.47088,0.000866375,0.000866375,0.000866375
33,2837.52,1.32865,1.33448,1.4408,0.6065,0.61706,0.63771,0.40584,1.333,1.24007,1.45338,0.000854,0.000854,0.000854
34,2961.83,1.31005,1.33361,1.43232,0.57318,0.64393,0.66486,0.4275,1.29126,1.23859,1.4204,0.000841625,0.000841625,0.000841625
35,3073.33,1.30904,1.30052,1.42984,0.64292,0.66384,0.70528,0.46531,1.28031,1.14384,1.40165,0.00082925,0.00082925,0.00082925
36,3161.24,1.27937,1.27103,1.41121,0.63385,0.65401,0.67092,0.43755,1.3047,1.21378,1.43968,0.000816875,0.000816875,0.000816875
37,3248.58,1.27893,1.27481,1.40697,0.63159,0.67726,0.6929,0.44933,1.28449,1.20455,1.41894,0.0008045,0.0008045,0.0008045
38,3337.65,1.27244,1.24766,1.40428,0.66239,0.67793,0.71339,0.46302,1.30652,1.13444,1.43335,0.000792125,0.000792125,0.000792125
39,3429.41,1.25576,1.23396,1.39474,0.60183,0.70533,0.71229,0.48005,1.24469,1.12852,1.37498,0.00077975,0.00077975,0.00077975
40,3518.52,1.25406,1.22887,1.39276,0.62584,0.67153,0.68611,0.4511,1.27663,1.1516,1.39229,0.000767375,0.000767375,0.000767375
41,3607.03,1.25046,1.22245,1.39311,0.63392,0.6825,0.67223,0.43941,1.29154,1.16622,1.4053,0.000755,0.000755,0.000755
42,3693.24,1.2507,1.21345,1.38501,0.68413,0.66511,0.71238,0.47271,1.24398,1.1394,1.38372,0.000742625,0.000742625,0.000742625
43,3779.99,1.24032,1.18767,1.3758,0.64252,0.72988,0.73296,0.48839,1.26472,1.09545,1.38691,0.00073025,0.00073025,0.00073025
44,3866.71,1.23623,1.19102,1.37272,0.64443,0.723,0.74569,0.50121,1.22142,1.04225,1.36237,0.000717875,0.000717875,0.000717875
45,3958.07,1.22234,1.18717,1.369,0.62719,0.69051,0.70893,0.47653,1.23906,1.1286,1.36446,0.0007055,0.0007055,0.0007055
46,4046.3,1.21727,1.1675,1.37459,0.66798,0.72585,0.74432,0.49941,1.22372,1.07879,1.35773,0.000693125,0.000693125,0.000693125
47,4135.56,1.20014,1.15768,1.34988,0.67311,0.71001,0.747,0.50593,1.22064,1.06524,1.35277,0.00068075,0.00068075,0.00068075
48,4223.24,1.2163,1.14897,1.36346,0.67394,0.71539,0.75271,0.50572,1.22022,1.05203,1.36095,0.000668375,0.000668375,0.000668375
49,4312.7,1.19627,1.13281,1.35257,0.66577,0.73573,0.75013,0.50711,1.18895,1.03295,1.32652,0.000656,0.000656,0.000656
50,4403.14,1.20453,1.12877,1.35514,0.68534,0.73397,0.77467,0.53386,1.18714,1.01911,1.3343,0.000643625,0.000643625,0.000643625
51,4494.08,1.18628,1.10372,1.34036,0.68872,0.74738,0.77367,0.53375,1.17147,0.97725,1.32102,0.00063125,0.00063125,0.00063125
52,4584.14,1.18216,1.11262,1.34247,0.69073,0.75298,0.77923,0.53557,1.18013,0.99031,1.33781,0.000618875,0.000618875,0.000618875
53,4676.58,1.16538,1.08739,1.32737,0.66968,0.76018,0.76272,0.52798,1.17509,1.02006,1.32969,0.0006065,0.0006065,0.0006065
54,4789.45,1.17262,1.0855,1.33742,0.70645,0.75637,0.78217,0.54007,1.1711,0.96776,1.31351,0.000594125,0.000594125,0.000594125
55,4888.64,1.15938,1.06692,1.32107,0.73554,0.72063,0.7786,0.53603,1.16068,0.96896,1.30465,0.00058175,0.00058175,0.00058175
56,4982.86,1.14578,1.06553,1.32004,0.70022,0.77055,0.78522,0.54785,1.14632,0.95599,1.3081,0.000569375,0.000569375,0.000569375
57,5075.56,1.15754,1.05206,1.32184,0.73847,0.72425,0.78353,0.54916,1.14794,0.94162,1.3037,0.000557,0.000557,0.000557
58,5171.94,1.15891,1.06335,1.3251,0.70101,0.73711,0.77286,0.54422,1.14528,0.98741,1.30086,0.000544625,0.000544625,0.000544625
59,5270.35,1.12794,1.03028,1.30151,0.71111,0.77525,0.79507,0.56105,1.13761,0.95713,1.29549,0.00053225,0.00053225,0.00053225
60,5382.72,1.13086,1.03052,1.30836,0.72651,0.72562,0.75794,0.5338,1.13248,0.96997,1.2825,0.000519875,0.000519875,0.000519875
61,5500.46,1.13355,1.02404,1.30544,0.76137,0.7444,0.79671,0.56652,1.11517,0.92288,1.27837,0.0005075,0.0005075,0.0005075
62,5597.03,1.12207,1.01836,1.29738,0.70956,0.75212,0.78209,0.55603,1.11845,0.94532,1.27621,0.000495125,0.000495125,0.000495125
63,5684.48,1.11572,1.00975,1.29039,0.70647,0.75103,0.78071,0.55782,1.12508,0.97572,1.28239,0.00048275,0.00048275,0.00048275
64,5773.18,1.12184,1.01997,1.30117,0.72479,0.79248,0.80437,0.57945,1.10329,0.90617,1.26837,0.000470375,0.000470375,0.000470375
65,5859.74,1.10572,1.00613,1.29409,0.75641,0.74878,0.80178,0.57375,1.1028,0.90996,1.27409,0.000458,0.000458,0.000458
66,5946.41,1.10357,0.98982,1.28032,0.80107,0.74161,0.80697,0.58173,1.10457,0.89436,1.27495,0.000445625,0.000445625,0.000445625
67,6034.35,1.09188,0.98611,1.27703,0.77797,0.77269,0.81671,0.58487,1.09995,0.86411,1.26745,0.00043325,0.00043325,0.00043325
68,6120.94,1.09462,0.97717,1.27716,0.71278,0.79834,0.81258,0.58868,1.08969,0.8701,1.25325,0.000420875,0.000420875,0.000420875
69,6208.17,1.09292,0.98275,1.27161,0.733,0.77801,0.80911,0.58659,1.08835,0.88549,1.25426,0.0004085,0.0004085,0.0004085
70,6295.39,1.07604,0.94824,1.27003,0.71964,0.77434,0.79835,0.57717,1.08,0.9052,1.25331,0.000396125,0.000396125,0.000396125
71,6382.47,1.06897,0.9459,1.2666,0.75346,0.79306,0.82401,0.59966,1.07124,0.86275,1.24821,0.00038375,0.00038375,0.00038375
72,6469.52,1.07329,0.93764,1.25991,0.71923,0.79884,0.81381,0.59067,1.06271,0.86776,1.23934,0.000371375,0.000371375,0.000371375
73,6563.74,1.07041,0.94763,1.26085,0.74654,0.79585,0.81788,0.60034,1.06049,0.85731,1.23299,0.000359,0.000359,0.000359
74,6650.86,1.06921,0.93619,1.25986,0.76148,0.77469,0.80968,0.59317,1.06338,0.86804,1.23665,0.000346625,0.000346625,0.000346625
75,6737.74,1.0503,0.93519,1.25283,0.75308,0.78571,0.81175,0.59154,1.05104,0.8667,1.22546,0.00033425,0.00033425,0.00033425
76,6824.63,1.03724,0.91254,1.2406,0.72899,0.82091,0.82487,0.60521,1.05264,0.84574,1.21871,0.000321875,0.000321875,0.000321875
77,6912.06,1.03804,0.91032,1.23932,0.7518,0.78895,0.81583,0.60076,1.05652,0.85458,1.22191,0.0003095,0.0003095,0.0003095
78,7001.42,1.02559,0.90865,1.23331,0.77312,0.76479,0.81678,0.60585,1.04429,0.85183,1.21618,0.000297125,0.000297125,0.000297125
79,7089.08,1.02854,0.8987,1.23517,0.79294,0.77565,0.82483,0.61202,1.03437,0.83608,1.21397,0.00028475,0.00028475,0.00028475
80,7176.01,1.02727,0.89639,1.23444,0.76618,0.78324,0.82264,0.61166,1.03682,0.8334,1.21459,0.000272375,0.000272375,0.000272375
81,7263.31,1.03253,0.90065,1.2376,0.77915,0.77133,0.82264,0.61045,1.03435,0.84055,1.21074,0.00026,0.00026,0.00026
82,7350.43,1.02308,0.87702,1.2251,0.76433,0.79828,0.831,0.61503,1.02524,0.82053,1.20833,0.000247625,0.000247625,0.000247625
83,7437.75,1.02221,0.88344,1.2319,0.78617,0.78446,0.82518,0.6199,1.01937,0.82812,1.20821,0.00023525,0.00023525,0.00023525
84,7536.63,1.01311,0.88753,1.22651,0.74423,0.79878,0.82264,0.61519,1.02084,0.83733,1.20386,0.000222875,0.000222875,0.000222875
85,7634.09,1.01228,0.86806,1.22051,0.76039,0.79168,0.82687,0.61847,1.02046,0.82724,1.20682,0.0002105,0.0002105,0.0002105
86,7721.68,1.01177,0.86967,1.22228,0.78541,0.79215,0.82835,0.61966,1.02146,0.82935,1.20506,0.000198125,0.000198125,0.000198125
87,7812.47,1.00029,0.86377,1.21735,0.76403,0.79937,0.82345,0.61985,1.01559,0.82401,1.20539,0.00018575,0.00018575,0.00018575
88,7904.13,0.99848,0.85956,1.21567,0.76135,0.79572,0.81697,0.61407,1.01621,0.82344,1.20562,0.000173375,0.000173375,0.000173375
89,7993.18,0.98412,0.85464,1.20408,0.77305,0.77717,0.81989,0.61373,1.01426,0.82188,1.20414,0.000161,0.000161,0.000161
90,8083.86,0.98058,0.84439,1.20581,0.76531,0.7916,0.82168,0.62064,1.00252,0.81922,1.19739,0.000148625,0.000148625,0.000148625
91,8180.21,0.95435,0.75711,1.20074,0.76302,0.78284,0.82085,0.61935,1.00415,0.82245,1.18713,0.00013625,0.00013625,0.00013625
92,8264.91,0.92121,0.71823,1.17772,0.76275,0.81178,0.83074,0.62902,0.99616,0.80478,1.18569,0.000123875,0.000123875,0.000123875
